"","name","caption"
"1","screens/vlcsnap-2022-11-20-16h25m20s448.png","this is a story about the rise of machines"
"2","screens/vlcsnap-2022-11-20-16h25m31s409.png","and how they made us believe"
"3","screens/vlcsnap-2022-11-20-16h25m37s695.png","we could create a stable world"
"4","screens/vlcsnap-2022-11-20-16h25m44s648.png","that would last forever"
"5","screens/vlcsnap-2022-11-20-16h26m09s678.png","it is a strange story"
"6","screens/vlcsnap-2022-11-20-16h26m13s882.png","and it begins with a strange woman in the 1950s in New York"
"7","screens/vlcsnap-2022-11-20-16h27m06s816.png","Silicon Valley"
"8","screens/vlcsnap-2022-11-20-16h27m08s823.png","Silicon Valley about forty years later"
"9","screens/vlcsnap-2022-11-20-16h27m11s232.png","about forty years later"
"10","screens/vlcsnap-2022-11-20-16h33m18s075.png","all watched over by machines of loving grace"
"11","screens/vlcsnap-2022-11-20-16h33m22s514.png","next time"
"12","screens/vlcsnap-2022-11-20-16h33m23s500.png","next time how the idea of the ecosystem was invented"
"13","screens/vlcsnap-2022-11-20-16h33m26s315.png","by the machines"
"14","screens/vlcsnap-2022-12-15-19h19m48s803.png","this is a story about the rise of the machines"
"15","screens/vlcsnap-2022-12-15-19h20m00s103.png","and why no one believes you can change the world for the better any more"
"16","screens/vlcsnap-2022-12-15-19h20m32s397.png","how we decided that we were machines ourselves"
"17","screens/vlcsnap-2022-12-15-19h20m36s945.png","played video games"
"18","screens/vlcsnap-2022-12-15-19h20m45s559.png","and helped start Africa's world war"
"19","screens/vlcsnap-2022-12-15-19h20m57s652.png","January 2000"
"20","screens/vlcsnap-2022-12-15-19h21m19s625.png","the monkey in the machine"
"21","screens/vlcsnap-2022-12-15-19h21m22s982.png","the money in the machine and the machine in the monkey"
"22","screens/vlcsnap-2022-12-15-19h21m31s431.png","in 1961 Enos the chimp because the first ape to orbit the earth"
"23","screens/vlcsnap-2022-12-15-19h21m38s462.png","he was starting a voyage of exploration"
"24","screens/vlcsnap-2022-12-15-19h21m42s849.png","that would lead human beings to the moon"
"25","screens/vlcsnap-2022-12-15-19h21m51s279.png","but as his spacecraft passed over the jungles where he had been born"
"26","screens/vlcsnap-2022-12-15-19h22m00s762.png","down below politics had become chaotic and dangerous"
"27","screens/vlcsnap-2022-12-15-19h24m02s930.png","a long time ago"
"28","screens/vlcsnap-2022-12-15-19h26m20s111.png","President Mobutu changes the Congo's name to Zaire"
"29","screens/vlcsnap-2022-12-15-19h26m26s471.png","he looted millions of dollars and let the industries and the mines collapse"
"30","screens/vlcsnap-2022-12-15-19h26m35s549.png","and he killed his opponents"
"31","screens/vlcsnap-2022-12-15-19h26m43s149.png","the liberal dream of an independent black democracy in Africa died"
"32","screens/vlcsnap-2022-12-15-19h27m11s776.png","Zaire was a place where other dreams went to die"
"33","screens/vlcsnap-2022-12-15-19h27m17s817.png","Nazi rocket scientists has taken America to the moon but their job was over"
"34","screens/vlcsnap-2022-12-15-19h27m24s299.png","Mobutu let them build a launch site on a plateau in the jungle"
"35","screens/vlcsnap-2022-12-15-19h27m37s524.png","The Germans promised Mobutu they would take Zaire to the stars"
"36","screens/vlcsnap-2022-12-15-19h28m13s541.png","at the same time a few hundred kilometres north"
"37","screens/vlcsnap-2022-12-15-19h28m17s391.png","at Dian Fossey's camp"
"38","screens/vlcsnap-2022-12-15-19h28m22s389.png","a new liberal dream was being born"
"39","screens/vlcsnap-2022-12-15-19h28m30s988.png","instead of thinking of ourselves as different and superior to animals"
"40","screens/vlcsnap-2022-12-15-19h28m38s678.png","we should recognise how similar we are"
"41","screens/vlcsnap-2022-12-15-19h33m38s052.png","linked together in the web of nature"
"42","screens/vlcsnap-2022-12-15-19h35m31s281.png","machines"
"43","screens/vlcsnap-2022-12-15-19h35m33s566.png","machines without loving grace"
"44","screens/vlcsnap-2022-12-15-19h38m51s333.png","this is a story about the rise of the machines"
"45","screens/vlcsnap-2022-12-15-19h38m55s745.png","and our belief in the balance of nature"
"46","screens/vlcsnap-2022-12-15-19h39m13s046.png","how the idea of the ecosystem was invented"
"47","screens/vlcsnap-2022-12-15-19h39m20s681.png","how it inspired us"
"48","screens/vlcsnap-2022-12-15-19h39m37s880.png","and how it wasn't even true"
"49","screens/vlcsnap-2022-12-15-19h40m38s604.png","the use and abuse of vegetational concepts"
"50","screens/vlcsnap-2022-12-15-19h40m44s151.png","London at the height of the British Empire or so they thought"
"51","screens/vlcsnap-2022-12-15-19h41m08s030.png","Vienna"
"52","screens/vlcsnap-2022-12-15-19h41m54s436.png","the default setting"
"53","screens/vlcsnap-2022-12-15-19h42m23s535.png","the operating manual for spaceship Earth"
"54","screens/vlcsnap-2022-12-15-19h45m54s660.png","all watched over by machines of loving grace"
"55","screens/vlcsnap-2022-12-15-19h59m33s629.png","part four eight people sipping wine in Kettering"
"56","screens/vlcsnap-2022-12-15-20h03m01s363.png","part three there is a policeman inside all our heads and he must be destroyed"
"57","screens/vlcsnap-2022-12-15-20h03m42s927.png","part one happiness machines"
"58","screens/vlcsnap-2022-12-15-20h04m05s342.png","part two the engineering of consent"
"59","screens/vlcsnap-2022-12-15-20h13m15s058.png","I say it ten times over and once again"
"60","screens/vlcsnap-2022-12-15-20h13m18s355.png","no one know how fucking shitty I feel"
"61","screens/vlcsnap-2022-12-15-20h13m21s554.png","and the TV hangs off the ceiling"
"62","screens/vlcsnap-2022-12-15-20h13m25s357.png","and no one know how fucking shitty I feel"
"63","screens/vlcsnap-2022-12-15-20h13m28s389.png","this has go so fucking annoying"
"64","screens/vlcsnap-2022-12-15-20h13m32s992.png","that I want to start all over again"
"65","screens/vlcsnap-2022-12-15-20h13m36s475.png","this verse is sad, such that I say again"
"66","screens/vlcsnap-2022-12-15-20h13m40s076.png","how fucking shitty I feel"
"67","screens/vlcsnap-2022-12-15-20h14m10s814.png","altered states"
"68","screens/vlcsnap-2022-12-15-20h14m59s951.png","California"
"69","screens/vlcsnap-2022-12-15-20h15m12s000.png","acid flashback"
"70","screens/vlcsnap-2022-12-15-20h15m16s273.png","twenty years later"
"71","screens/vlcsnap-2022-12-15-20h15m46s172.png","John Perry Barlow reading the declaration of the independence of cyberspace"
"72","screens/vlcsnap-2022-12-15-20h16m37s762.png","the colonel"
"73","screens/vlcsnap-2022-12-15-20h18m49s302.png","the truth is out there"
"74","screens/vlcsnap-2022-12-15-20h19m52s765.png","Jane Fonda gave up socialism and started another revolution"
"75","screens/vlcsnap-2022-12-15-20h20m10s815.png","trying to change the world was too complicated"
"76","screens/vlcsnap-2022-12-15-20h20m16s850.png","but there was still one thing you could control"
"77","screens/vlcsnap-2022-12-15-20h20m24s326.png","your body"
"78","screens/vlcsnap-2022-12-15-20h20m51s434.png","the old system was dying"
"79","screens/vlcsnap-2022-12-15-20h20m56s407.png","a new system was about to be born"
"80","screens/vlcsnap-2022-12-15-20h21m21s074.png","managed outcomes"
"81","screens/vlcsnap-2022-12-15-20h22m02s094.png","six"
"82","screens/vlcsnap-2022-12-15-20h22m02s892.png","six years"
"83","screens/vlcsnap-2022-12-15-20h22m04s006.png","six years earlier"
"84","screens/vlcsnap-2022-12-15-20h22m30s763.png","a cautionary tale"
"85","screens/vlcsnap-2022-12-15-20h23m08s452.png","but"
"86","screens/vlcsnap-2022-12-15-20h23m11s977.png","things didn't"
"87","screens/vlcsnap-2022-12-15-20h23m14s225.png","go"
"88","screens/vlcsnap-2022-12-15-20h23m16s442.png","according to plan"
"89","screens/vlcsnap-2022-12-15-20h23m23s098.png","in three month we'll kill you. No mistake."
"90","screens/vlcsnap-2022-12-15-20h24m06s370.png","America at the end of the twentieth century"
"91","screens/vlcsnap-2022-12-15-20h24m20s988.png","all these films were made before 2001"
"92","screens/vlcsnap-2022-12-15-20h25m57s954.png","a world without power"
"93","screens/vlcsnap-2022-12-17-17h45m33s726.png","Russia 1985-1999"
"94","screens/vlcsnap-2022-12-17-17h45m46s471.png","what it felt like to live through the collapse of communism and democracy"
"95","screens/vlcsnap-2022-12-17-17h45m48s234.png","and democracy"
"96","screens/vlcsnap-2022-12-17-17h45m54s676.png","Warsaw 1985"
